Year,Month,Salesindex
2013,1,91.1
2013,2,91.4
2013,3,91.7
2013,4,91.7
2013,5,91.9
2013,6,91.9
2013,7,92.2
2013,8,92.2
2013,9,92.4
2013,10,92.4
2013,11,92.6
2013,12,92.5
2014,1,92.7
2014,2,92.8
2014,3,92.9
2014,4,93.0
2014,5,93.2
2014,6,93.3
2014,7,93.6
2014,8,93.8
2014,9,93.8
2014,10,94.0
2014,11,93.9
2014,12,94.2
2015,1,94.4
2015,2,94.5
2015,3,94.8
2015,4,94.9
2015,5,94.9
2015,6,95.0
2015,7,95.2
2015,8,95.0
2015,9,94.8
2015,10,94.7
2015,11,94.7
2015,12,94.7
2016,1,94.8
2016,2,95.0
2016,3,95.0
2016,4,95.2
2016,5,95.2
2016,6,95.4
2016,7,95.2
2016,8,95.3
2016,9,95.5
2016,10,95.2
2016,11,95.6
2016,12,95.6
2017,1,95.6
2017,2,95.7
2017,3,95.7
2017,4,95.6
2017,5,95.9
2017,6,96.1
2017,7,96.1
2017,8,96.0
2017,9,96.1
2017,10,96.1
2017,11,96.3
2017,12,96.4
2018,1,96.8
2018,2,97.0
2018,3,96.8
2018,4,97.2
2018,5,97.2
2018,6,97.5
2018,7,97.2
2018,8,97.4
2018,9,97.4
2018,10,97.6
2018,11,98.0
2018,12,98.0
2019,1,98.2
2019,2,98.5
2019,3,98.6
2019,4,98.8
2019,5,99.0
2019,6,99.1
2019,7,99.3
2019,8,99.5
2019,9,99.6
2019,10,99.6
2019,11,99.7
2019,12,99.9
